Date deb;Date fin;Train;LU;MA;ME;JE;VE;SA;DI
2022-01-31;2022-07-02;865561;1;1;1;1;1;;
2022-01-31;2022-07-02;865562;;;;;;1;1
2022-01-31;2022-07-02;865564;1;1;1;1;1;;
2022-01-31;2022-07-02;865565;1;1;1;1;1;;
2022-01-31;2022-07-02;865569;1;1;1;1;1;;
2022-01-31;2022-07-02;865570;1;1;1;1;1;;
2022-01-31;2022-07-02;865571;;;;;;1;1
2022-01-31;2022-07-02;865574;;;;;;1;1
2022-01-31;2022-07-02;865574;;;;;;;1
2022-01-31;2022-07-02;865576;1;1;1;1;1;;
2022-01-31;2022-07-02;868222;;;;;1;;
2022-01-31;2022-07-02;868400;1;1;1;1;1;;
2022-01-31;2022-07-02;868401;1;1;1;1;1;;
2022-01-31;2022-07-02;868402;;;;;;;1
2022-01-31;2022-07-02;868403;;;;;;1;
2022-01-31;2022-07-02;868404;1;1;1;1;1;1;1
2022-01-31;2022-07-02;868405;1;1;1;1;1;1;1
2022-01-31;2022-07-02;868406;1;1;1;1;1;;
2022-01-31;2022-07-02;868408;1;1;1;1;1;1;1
2022-01-31;2022-07-02;868409;;;;;1;;1
2022-01-31;2022-07-02;868410;;;;;1;;1
2022-01-31;2022-07-02;868411;1;1;1;1;;1;
2022-01-31;2022-07-02;868413;;;;;1;;
2022-01-31;2022-07-02;868415;1;1;1;1;1;;1
2022-01-31;2022-07-02;868465;1;1;1;1;1;;
2022-01-31;2022-07-02;868473;;;;;1;;
2022-01-31;2022-07-02;868484;;;;;;1;
2022-01-31;2022-07-02;863102;;1;1;1;1;;
2022-01-31;2022-07-02;863116;1;1;1;1;1;;
2022-01-31;2022-07-02;863118;;;;;1;1;
2022-01-31;2022-07-02;863124;;;;;;1;
2022-01-31;2022-07-02;863165;1;1;1;1;1;;
2022-01-31;2022-07-02;863167;;;;;1;;
2022-01-31;2022-07-02;863174;1;1;1;1;;;
2022-01-31;2022-07-02;863226;;1;1;1;1;;
2022-01-31;2022-07-02;863232;;1;1;1;1;;
2022-01-31;2022-07-02;863233;;1;1;1;;;
2022-01-31;2022-07-02;863235;;;;;;1;
2022-01-31;2022-07-02;864000;1;1;1;1;1;;
2022-01-31;2022-07-02;864001;1;1;1;1;1;;
2022-01-31;2022-07-02;864002;1;1;1;1;1;;
2022-01-31;2022-07-02;864003;1;1;1;1;1;;
2022-01-31;2022-07-02;864004;1;1;1;1;1;;
2022-01-31;2022-07-02;864005;1;1;1;1;1;;
2022-01-31;2022-07-02;864007;1;1;1;1;1;1;
2022-01-31;2022-07-02;864016;;;;;;1;
2022-01-31;2022-07-02;864017;;;;;;1;1
2022-01-31;2022-07-02;864020;1;1;1;1;1;1;1
2022-01-31;2022-07-02;864023;1;1;1;1;1;;
2022-01-31;2022-07-02;864024;1;1;1;1;1;;
2022-01-31;2022-07-02;864025;;;;;;1;
2022-01-31;2022-07-02;864029;1;1;1;1;1;;
2022-01-31;2022-07-02;864030;;;;;;1;
2022-01-31;2022-07-02;864031;;;;;;;1
2022-01-31;2022-07-02;864034;1;1;1;1;1;;
2022-01-31;2022-07-02;864036;;;;;;;1
2022-01-31;2022-07-02;864200;1;1;1;1;1;;
2022-01-31;2022-07-02;864201;1;1;1;1;1;;
2022-01-31;2022-07-02;864211;1;1;1;1;1;;
2022-01-31;2022-07-02;864212;;;;;1;;
2022-01-31;2022-07-02;864213;;;;;;;1
2022-01-31;2022-07-02;864216;1;1;1;1;1;;
2022-01-31;2022-07-02;864622;1;1;1;1;1;;
2022-01-31;2022-07-02;864623;1;1;1;1;1;;
2022-01-31;2022-07-02;864625;1;1;1;1;1;;
2022-01-31;2022-07-02;864626;1;1;1;1;1;1;1
2022-01-31;2022-07-02;864750;1;1;1;1;1;;
2022-01-31;2022-07-02;864752;1;1;1;1;1;1;
2022-01-31;2022-07-02;864755;1;1;1;1;1;;
2022-01-31;2022-07-02;864764;1;1;1;1;1;;
2022-01-31;2022-07-02;864765;1;1;1;1;1;;
2022-01-31;2022-07-02;864766;1;1;1;1;1;;
2022-01-31;2022-07-02;864775;;;;;;;1
2022-01-31;2022-07-02;864777;1;1;1;1;1;;
2022-01-31;2022-07-02;864779;1;1;1;1;1;1;
2022-01-31;2022-07-02;864781;1;1;1;1;1;;
2022-01-31;2022-07-02;864782;1;1;1;1;1;;
2022-01-31;2022-07-02;864783;1;1;1;1;1;;1
2022-01-31;2022-07-02;864792;;;;;;;1
2022-01-31;2022-07-02;864794;1;1;1;1;1;;
2022-01-31;2022-07-02;864800;1;1;1;1;1;;
2022-01-31;2022-07-02;864801;1;1;1;1;1;1;
2022-01-31;2022-07-02;864803;1;1;1;1;1;1;1
2022-01-31;2022-07-02;864804;;;;;;1;
2022-01-31;2022-07-02;864807;1;1;1;1;1;1;1
2022-01-31;2022-07-02;864808;1;1;1;1;1;1;1
2022-01-31;2022-07-02;864811;;;;;;1;1
2022-01-31;2022-07-02;864812;1;1;1;1;1;1;1
2022-01-31;2022-07-02;864813;1;1;1;1;1;;
2022-01-31;2022-07-02;864815;;;;;;;1
2022-01-31;2022-07-02;864816;1;1;1;1;1;1;1
2022-01-31;2022-07-02;864818;1;1;1;1;1;;1
